Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
Kobold Bully,Dungeon Delver's Guide,2,Small,Humanoid,N/A,0,0,0,0,12,44,16,14,14,10,12,10,2,13,0,0
Kobold Firebomber,Dungeon Delver's Guide,1,Small,Humanoid,N/A,0,0,0,0,12,21,8,14,10,10,12,10,2,12,0,Kobold Artillerist
Motley Warrior,Dungeon Delver's Guide,0.5,Medium,Humanoid,N/A,0,0,1,0,12,27,16,14,14,10,12,10,2,13,0,0
Mycelial Traveler,Dungeon Delver's Guide,0.25,Small,Humanoid,N/A,0,0,1,0,12,13,8,14,12,10,12,10,2,12,0,0
Kuchnost Strangler,Adventures in Zeitgeist,0.25,Medium,Humanoid,N/A,0,0,1,0,12,26,13,10,14,10,11,10,2,11,0,0
Pirate,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,12,9,12,10,10,10,10,10,2,11,0,Bandit
Ratling Scavenger,Dungeon Delver's Guide,0.5,Small,Humanoid,N/A,0,0,1,0,12,19,10,14,16,10,8,10,2,12,0,0
Sahuagin,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,0,0,12,22,12,10,12,10,12,10,2,11,0,0
Spark Mephit,Monstrous Menagerie,0.5,Small,Elemental,N/A,0,0,0,0,12,17,8,14,10,10,10,12,2,12,0,0
Police Squad,Adventures in Zeitgeist,1,Large,Humanoid,N/A,0,0,1,0,12,50,13,10,12,10,11,10,2,11,0,0
Poltergeist (TSaK),To Save A Kingdom,1,Medium,Undead,N/A,0,0,0,0,12,22,1,14,11,10,10,11,2,12,0,0
Aboleth Thrall,Dungeon Delver's Guide,2,Medium,Humanoid,N/A,0,0,1,0,12,45,14,14,14,10,10,12,2,12,0,0
Alpha Werewolf,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,0,0,12,104,14,14,14,10,10,10,3,13,0,Werewolf
Cave Ogre,Monstrous Menagerie,2,Large,Giant,N/A,1,0,0,0,12,119,19,8,16,10,10,8,2,14,0,Ogre
Fungal Zombie,Dungeon Delver's Guide,1,Medium,Plant,N/A,0,0,0,0,12,37,18,8,16,10,10,8,2,14,0,0
Shadow Pirate,Planestrider's Journal,1,Medium,Undead,N/A,0,0,0,0,12,9,12,10,10,10,10,10,2,11,0,0
Kobold Sorcerer,Monstrous Menagerie,1,Small,Humanoid,N/A,0,0,0,0,12,27,6,14,14,10,10,14,2,12,1,0
Kobold Sorcerer Dragon Servitor,Monstrous Menagerie,2,Small,Humanoid,N/A,0,0,0,0,12,27,6,14,14,10,10,14,2,12,0,Kobold Sorcerer
Ogre,Monstrous Menagerie,2,Large,Giant,N/A,0,0,0,0,12,59,19,8,16,10,10,8,2,14,1,0
Specter,Monstrous Menagerie,1,Medium,Undead,N/A,0,0,0,0,12,22,2,14,10,10,10,14,2,12,0,0
Wereboar,Monstrous Menagerie,4,Medium,Humanoid,N/A,0,0,0,0,12,78,16,10,14,10,10,10,2,13,0,0
Wererat,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,0,0,12,33,10,14,12,10,10,10,2,12,0,0
Werewolf,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,0,0,12,58,14,14,14,10,10,10,2,12,1,0
Giant Eagle,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,12,26,14,14,12,8,14,10,2,12,0,0
Abominable Snowman,Monstrous Menagerie,4,Large,Monstrosity,N/A,1,0,0,0,12,136,18,12,16,8,12,6,2,14,0,Yeti
Yeti,Monstrous Menagerie,4,Large,Monstrosity,N/A,0,0,0,0,12,68,18,12,16,8,12,6,2,14,1,0
Dust Mephit,Monstrous Menagerie,0.5,Small,Elemental,N/A,0,0,0,0,12,17,6,14,10,8,10,10,2,12,0,0
Giant Owl,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,12,19,12,14,12,8,14,10,2,12,0,0
Green Kobold Drake,Dungeon Delver's Guide,0.5,Medium,Dragon,N/A,0,0,0,0,12,27,14,12,12,8,10,8,2,12,0,0
Ice Mephit,Monstrous Menagerie,0.5,Small,Elemental,N/A,0,0,0,0,12,21,8,14,10,8,10,10,2,12,0,0
Ettin,Monstrous Menagerie,4,Large,Giant,N/A,0,0,0,0,12,85,20,8,16,8,10,8,2,15,0,0
Horde of Shadows,Blog/A5e Tools,4,Large,Undead,N/A,0,0,0,0,12,90,6,14,10,8,10,14,2,12,0,0
Shadow,Monstrous Menagerie,1,Medium,Undead,N/A,0,0,0,0,12,18,6,14,10,8,10,14,2,12,0,0
Mimic,Monstrous Menagerie,2,Medium,Monstrosity,N/A,0,0,0,0,12,52,18,14,14,6,14,8,2,14,1,0
Mirage Monster,Monstrous Menagerie,4,Huge,Monstrosity,N/A,0,1,0,0,12,76,18,14,14,6,14,8,2,14,0,Mimic
Flayed Jaguar,Adventures in Zeitgeist,2,Medium,Monstrosity,N/A,0,0,0,0,12,60,15,14,16,6,12,7,2,12,0,0
Giant Vulture,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,12,22,14,14,14,6,12,6,2,12,0,0
Ape,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,19,16,14,14,6,12,6,2,13,0,0
Ghoul,Monstrous Menagerie,1,Medium,Undead,N/A,0,0,0,0,12,22,12,14,10,6,10,6,2,12,1,0
Lacedon Ghoul,Monstrous Menagerie,1,Medium,Undead,N/A,0,0,0,0,12,22,12,14,10,6,10,6,2,12,0,Ghoul
Serpent-Maned Lion,Adventures in Zeitgeist,2,Large,Fey,N/A,0,0,0,0,12,60,15,15,14,6,12,7,2,12,0,0
Sandling,Monstrous Menagerie,1,Medium,Construct,N/A,0,0,0,0,12,31,12,14,10,6,10,14,2,12,0,Scarecrow
Scarecrow,Monstrous Menagerie,1,Medium,Construct,Undead,0,0,0,0,12,31,12,14,10,6,10,14,2,12,2,0
Snowman,Monstrous Menagerie,1,Medium,Construct,Undead,0,0,0,0,12,31,12,14,10,6,10,14,2,12,0,Scarecrow
Gibberling,The Haunting of Calrow Ruins,0.25,Small,Aberration,N/A,0,0,0,0,12,9,13,14,12,5,7,8,2,12,0,0
Baboon,Monstrous Menagerie,0,Small,Beast,N/A,0,0,0,0,12,2,8,14,10,4,12,6,2,12,0,0
Giant Weasel,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,9,10,14,10,4,12,4,2,12,0,0
Elephant,Monstrous Menagerie,4,Huge,Beast,N/A,0,0,0,0,12,76,22,8,16,4,10,6,2,16,0,0
Babe the Blue Ox,Mythological Figures & Maleficent Monsters ,4,Huge,Beast,N/A,0,0,1,1,12,76,21,9,17,3,11,6,2,15,0,0
Celestial Sabre-Toothed Tiger,Planestrider's Journal,4,Large,Celestial,N/A,0,0,0,0,12,45,20,14,14,3,12,6,2,15,0,0
Decoyskull,Gate Pass Gazette #6,1,Tiny,Undead,N/A,0,0,0,0,12,18,7,15,14,3,12,8,2,12,0,0
Killer Whale,Monstrous Menagerie,3,Huge,Beast,N/A,0,0,0,0,12,75,18,10,12,3,14,6,2,14,0,0
Lion,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,12,30,16,14,14,3,12,4,2,13,0,0
Goatrilla,Planestrider's Journal,5,Large,Monstrosity,N/A,0,0,0,0,12,102,19,11,16,3,12,10,3,15,0,0
Saber-Toothed Tiger,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,12,45,20,14,14,3,12,6,2,15,0,0
Tiger,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,12,30,16,14,14,3,12,4,2,13,0,0
Cat,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,12,2,2,14,10,3,12,6,2,12,0,0
Laskian Sled Dog,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,9,12,14,10,3,12,6,2,12,0,Mastiff
Mastiff,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,9,12,14,10,3,12,6,2,12,1,0
Octopus,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,12,3,4,14,10,3,10,4,2,12,0,0
Panther,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,13,14,14,10,3,14,6,2,12,0,0
Serviceskull,Gate Pass Gazette #6,0.25,Tiny,Undead,N/A,0,0,0,0,12,9,9,13,12,3,10,8,2,11,0,0
Wolf,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,11,12,14,12,3,12,6,2,12,0,0
Flying Lion,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,12,57,18,14,18,2,16,8,2,14,0,Griffon
Griffon,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,12,57,18,14,18,2,16,8,2,14,2,0
Thunderbird,Blog/A5e Tools,3,Large,Monstrosity,N/A,0,0,0,0,12,57,18,14,18,2,16,8,2,14,0,Griffon
Cave Bear,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,12,42,20,10,16,2,12,4,2,15,1,0
Death Dog,Monstrous Menagerie,1,Medium,Monstrosity,N/A,0,0,0,0,12,32,14,14,14,2,12,6,2,12,0,0
Drop Bear,Monstrous Menagerie,3,Large,Beast,N/A,0,0,0,0,12,42,20,10,16,2,12,4,2,15,0,Polar Bear
Giant Hyena,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,12,34,14,14,16,2,12,6,2,12,0,0
Hippogriff,Monstrous Menagerie,1,Large,Monstrosity,N/A,0,0,0,0,12,39,16,13,12,2,12,8,2,13,0,0
Polar Bear,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,12,42,20,10,16,2,12,4,2,15,1,Cave Bear
Rhinoceros,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,12,45,20,8,14,2,12,4,2,15,0,0
Bat,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,12,1,2,14,8,2,12,4,2,12,0,0
Cockatrice,Monstrous Menagerie,0.5,Small,Monstrosity,N/A,0,0,0,0,12,27,6,14,12,2,12,5,2,12,1,0
Coralfish,Monstrous Menagerie,0.5,Small,Monstrosity,N/A,0,0,0,0,12,27,6,14,12,2,12,5,2,12,0,Cockatrice
Crocodile,Monstrous Menagerie,0.5,Large,Beast,N/A,0,0,0,0,12,19,14,10,12,2,10,4,2,12,0,0
Diseased Giant Rat,Monstrous Menagerie,0.25,Small,Beast,N/A,0,0,0,0,12,7,6,14,10,2,10,4,2,12,0,Giant Rat
Giant Constrictor Snake,Monstrous Menagerie,2,Huge,Beast,N/A,0,0,0,0,12,52,18,14,12,2,10,4,2,14,0,0
Eagle,Monstrous Menagerie,0,Small,Beast,N/A,0,0,0,0,12,3,6,14,10,2,14,6,2,12,0,0
Hunter Shark,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,12,45,18,12,14,2,10,4,2,14,0,0
Giant Lizard,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,12,19,14,12,12,2,10,4,2,12,0,0
Giant Rat,Monstrous Menagerie,0.25,Small,Beast,N/A,0,0,0,0,12,7,6,14,10,2,10,4,2,12,1,0
Jackal,Monstrous Menagerie,0,Small,Beast,N/A,0,0,0,0,12,3,8,14,10,2,12,4,2,12,0,0
Poisonous Snake,Monstrous Menagerie,0.25,Tiny,Beast,N/A,0,0,0,0,12,2,2,14,10,2,10,4,2,12,0,0
Raven,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,12,1,2,14,8,2,12,4,2,12,0,0
Reef Shark,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,22,14,12,12,2,10,4,2,12,0,0
Swarm of Bats,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,18,4,14,10,2,12,4,2,12,1,0
Swarm of Ravens,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,12,17,6,14,8,2,12,4,2,12,0,0
Swarm of Sickle Bats,Gate Pass Gazette #15,0.5,Large,Beast,N/A,0,0,0,0,12,18,4,14,10,2,12,4,2,12,0,Swarm of Bats
Giant Boar,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,12,47,16,10,18,2,8,4,2,13,0,0
Walrus,Gate Pass Gazette #21,1,Large,Beast,N/A,0,0,0,0,12,34,15,9,17,2,11,6,2,12,0,0
Blood Maggot,Gate Pass Gazette #4,0.25,Tiny,Monstrosity,N/A,0,0,0,0,12,3,3,14,12,1,8,6,2,12,0,0
Crab,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,12,2,2,10,10,1,8,4,2,10,0,0
Giant Centipede,Monstrous Menagerie,0.25,Small,Beast,N/A,0,0,0,0,12,9,4,14,12,1,6,3,2,12,0,0
Giant Wasp,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,18,10,14,10,1,10,4,2,12,0,0
Spider,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,12,1,2,14,8,1,10,2,2,12,0,0
Swarm of Beetles,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,22,2,14,10,1,6,4,2,12,0,Swarm of Insects
Swarm of Centipedes,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,22,2,14,10,1,6,4,2,12,0,Swarm of Insects
Swarm of Insects,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,22,2,14,10,1,6,4,2,12,4,0
Swarm of Spiders,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,22,2,14,10,1,6,4,2,12,0,Swarm of Insects
Swarm of Wasps,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,12,22,2,14,10,1,6,4,2,12,0,Swarm of Insects
Druid,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,11,39,10,12,14,12,14,10,2,11,1,0
Mustbairn Halfling Druid,Monstrous Menagerie,2,Small,Humanoid,N/A,0,0,1,0,11,39,10,12,14,12,14,10,2,11,0,Druid
Ghost,Monstrous Menagerie,4,Medium,Undead,N/A,0,0,0,0,11,58,8,12,10,10,12,16,2,11,2,0
Merfolk,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,0,0,11,11,10,12,12,10,10,10,2,11,0,0
Werebear,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,0,0,11,135,18,10,16,10,12,12,3,15,0,0
Lost Prospector,Gate Pass Gazette #12,4,Medium,Undead,N/A,0,0,0,0,11,58,8,12,10,10,12,16,2,11,0,Ghost
Posse Member,Adventures in Zeitgeist,N/A,Medium,Humanoid,N/A,0,0,1,0,11,16,12,8,12,10,8,12,2,11,0,0
Troglodyte,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,0,0,11,19,14,12,14,10,12,10,2,12,0,0
Vengeful Ghost,Monstrous Menagerie,8,Medium,Undead,N/A,0,0,0,0,11,58,8,12,10,10,12,16,3,12,0,Ghost
Harpy,Monstrous Menagerie,1,Medium,Monstrosity,N/A,0,0,0,0,11,38,12,12,12,10,10,14,2,11,1,0
Mummy,Monstrous Menagerie,3,Medium,Undead,N/A,0,0,0,0,11,67,16,8,16,10,10,12,2,13,0,0
Ogrekin,Monstrous Menagerie,1,Medium,Humanoid,Giant,0,0,0,0,11,32,16,12,14,10,10,10,2,13,0,0
Siren,Monstrous Menagerie,1,Medium,Monstrosity,N/A,0,0,0,0,11,38,12,12,12,10,10,14,2,11,0,Harpy
Magma Mephit,Monstrous Menagerie,0.5,Small,Elemental,N/A,0,0,0,0,11,21,8,12,10,8,10,10,2,11,0,0
Giant Octopus,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,11,32,16,12,12,4,12,4,2,13,0,0
Bonespawn,Dungeon Delver's Guide,0.25,Medium,Undead,N/A,0,0,0,0,11,1,10,12,4,4,6,5,2,11,0,0
Giant Goat,Monstrous Menagerie,0.5,Large,Beast,N/A,0,0,0,0,11,22,16,10,14,3,12,6,2,13,0,0
Root,Planestrider's Journal,0,Tiny,Plant,N/A,0,0,0,0,11,7,5,9,12,3,12,8,2,10,0,0
Skeletal Warhorse,Monstrous Menagerie,0.5,Large,Undead,N/A,0,0,0,0,11,30,18,12,14,3,8,5,2,14,0,0
Warhorse,Monstrous Menagerie,0.5,Large,Beast,N/A,0,0,0,0,11,30,18,12,14,3,12,6,2,14,0,0
Ogre Flesh Heap,Monstrous Menagerie,4,Large,Undead,N/A,0,0,0,0,11,59,18,6,18,3,8,4,2,14,0,Ogre Zombie
Ogre Zombie,Monstrous Menagerie,2,Large,Undead,N/A,0,0,0,0,11,59,18,6,18,3,8,4,2,14,1,0
Brown Bear,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,11,34,18,10,16,2,12,4,2,14,0,0
Axe Beak,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,11,16,14,12,10,2,10,4,2,12,0,0
Black Bear,Monstrous Menagerie,0.5,Medium,Beast,N/A,0,0,0,0,11,19,14,10,14,2,12,6,2,12,0,0
Blood Hawk,Monstrous Menagerie,0.25,Small,Beast,N/A,0,0,0,0,11,7,6,12,10,2,14,4,2,11,0,0
Boar,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,11,11,12,10,12,2,10,4,2,11,0,0
Constrictor Snake,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,11,13,14,12,12,2,10,4,2,12,0,0
Darkmantle,Monstrous Menagerie,0.5,Small,Monstrosity,N/A,0,0,0,0,11,22,16,12,12,2,10,5,2,13,0,0
Frog,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,11,1,1,12,8,2,12,4,2,11,0,0
Giant Toad,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,11,33,14,12,10,2,10,4,2,12,0,0
Giant Frog,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,11,18,12,12,10,2,10,4,2,11,0,0
Hyena,Monstrous Menagerie,0,Medium,Beast,N/A,0,0,0,0,11,4,10,12,10,2,12,4,2,11,0,0
Owl,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,11,1,2,12,8,2,12,6,2,11,0,0
Rat,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,11,1,2,12,8,2,10,4,2,11,0,0
Seahorse,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,11,1,1,12,8,2,10,4,2,11,0,0
Swarm of Rats,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,11,17,10,12,8,2,10,4,2,11,0,0
Swarm of Woodland Creatures,Mama Bear's Revenge,0.25,Medium,Beast,N/A,0,0,0,0,11,17,10,12,8,2,10,4,2,11,0,0
Scorpion,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,11,1,2,10,8,1,8,4,2,10,0,0
Apprentice Mage,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,10,11,10,10,12,14,10,10,2,10,0,0
Acolyte,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,10,11,10,10,12,10,14,10,2,10,0,0
Commoner,Monstrous Menagerie,0,Medium,Humanoid,N/A,0,0,1,0,10,4,10,10,10,10,10,10,2,10,0,0
Commoner Mob,Monstrous Menagerie,0,Huge,Humanoid,N/A,0,0,1,0,10,45,10,10,10,10,10,10,2,10,0,0
Steam Mephit,Monstrous Menagerie,0.25,Small,Elemental,N/A,0,0,0,0,10,21,6,10,10,10,10,10,2,10,0,0
Dretch,Monstrous Menagerie,0.25,Small,Fiend,N/A,0,0,0,0,10,18,12,10,12,5,8,3,2,11,0,0
Bright Orb,Dungeon Delver's Guide,2,Tiny,Plant,N/A,0,0,0,0,10,30,2,10,10,3,10,3,2,10,0,0
Badger,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,10,3,4,10,12,2,12,4,2,10,0,0
Camel,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,10,15,16,10,14,2,8,4,2,13,0,0
Draft Horse,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,10,22,18,10,14,2,10,6,2,14,0,0
Elk,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,10,15,14,10,14,2,10,4,2,12,0,0
Giant Badger,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,10,19,12,10,14,2,12,4,2,11,0,0
Goat,Monstrous Menagerie,0,Medium,Beast,N/A,0,0,0,0,10,4,10,10,10,2,10,4,2,10,0,0
Lizard,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,10,2,2,10,10,2,10,4,2,10,0,0
Mule,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,10,11,12,10,12,2,10,4,2,11,0,0
Pony,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,10,11,14,10,12,2,10,6,2,12,0,0
Riding Horse,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,10,19,16,12,12,2,10,6,2,13,0,0
Vulture,Monstrous Menagerie,0,Medium,Beast,N/A,0,0,0,0,10,4,6,10,10,2,12,6,2,10,0,0
Awakened Shrub,Monstrous Menagerie,0,Small,Plant,N/A,0,0,0,0,9,7,2,8,10,10,10,6,2,9,0,0
Flesh Guardian,Monstrous Menagerie,5,Medium,Construct,N/A,0,0,0,0,9,93,18,8,18,6,10,5,3,15,0,0
Slime Mold,Dungeon Delver's Guide,6,Large,Ooze,N/A,0,0,0,0,9,104,16,8,18,3,10,4,3,14,0,0
Gibbering Mouther,Monstrous Menagerie,2,Medium,Aberration,N/A,0,0,0,0,9,67,10,8,16,2,10,6,2,10,0,0
Dreamer's Morel,Dungeon Delver's Guide,0.5,Small,Plant,N/A,0,0,0,0,8,21,3,1,10,14,12,13,2,7,0,0
Gorger Zombie,Gate Pass Gazette #4,0.25,Medium,Undead,N/A,0,0,0,0,8,15,12,6,16,3,6,4,2,11,0,Zombie
Gorger Zombie Horde,Gate Pass Gazette #4,4,Large,Undead,N/A,0,0,0,0,8,75,12,6,16,3,6,4,2,11,0,Zombie Horde
Fogborn Zombie,Monstrous Menagerie,0.25,Medium,Undead,N/A,0,0,0,0,8,15,12,6,16,3,6,4,2,11,0,Zombie
Spore Thrall,Gate Pass Gazette #15,0.25,Medium,Plant,N/A,0,0,0,0,8,15,12,6,16,3,6,4,2,11,0,Zombie
Zombie,Monstrous Menagerie,0.25,Medium,Undead,N/A,0,0,0,0,8,15,12,6,16,3,6,4,2,11,3,0
Fogborn Zombie Horde,Monstrous Menagerie,4,Large,Undead,N/A,0,0,0,0,8,75,12,6,16,3,6,4,2,11,0,Zombie Horde
Zombie Horde,Monstrous Menagerie,4,Large,Undead,N/A,0,0,0,0,8,75,12,6,16,3,6,4,2,11,2,0
Gray Ooze,Monstrous Menagerie,0.5,Medium,Ooze,N/A,0,0,0,0,8,22,12,6,16,1,6,1,2,11,0,0
Flash Jelly,Dungeon Delver's Guide,3,Large,Ooze,N/A,0,0,0,0,8,45,14,6,14,1,6,1,2,12,0,Ochre Jelly
Ochre Jelly,Monstrous Menagerie,2,Large,Ooze,N/A,0,0,0,0,8,45,14,6,14,1,6,1,2,12,1,0
Lemure Band,Monstrous Menagerie,2,Large,Fiend,N/A,0,0,0,0,7,67,10,4,10,1,10,2,2,10,0,0
Elder Black Pudding,Monstrous Menagerie,8,Huge,Ooze,N/A,0,0,0,0,7,171,16,4,16,1,6,1,3,14,0,Black Pudding
Black Pudding,Monstrous Menagerie,4,Large,Ooze,N/A,0,0,0,0,7,85,16,4,16,1,6,1,2,13,2,0
Blazing Black Pudding,Dungeon Delver's Guide,4,Large,Ooze,N/A,0,0,0,0,7,85,16,4,16,1,6,1,2,13,0,Black Pudding
Lemure,Monstrous Menagerie,0.25,Medium,Fiend,N/A,0,0,0,0,7,13,10,4,10,1,10,2,2,10,0,0
Euphoria Cube,Dungeon Delver's Guide,3,Large,Ooze,N/A,0,0,0,0,6,76,16,2,18,1,6,1,2,13,0,Gelatinous Cube
Gelatinous Cube,Monstrous Menagerie,2,Large,Ooze,N/A,0,0,0,0,6,76,16,2,18,1,6,1,2,13,2,0
Gelatinous Wall,Monstrous Menagerie,7,Huge,Ooze,N/A,0,0,0,0,6,136,16,2,18,1,6,1,3,14,0,Gelatinous Cube
Shrieker,Monstrous Menagerie,0,Medium,Plant,N/A,0,0,0,0,5,13,1,1,10,1,2,1,2,6,0,0
Spell Shrieker,Dungeon Delver's Guide,0.5,Small,Plant,N/A,0,0,0,0,5,35,1,1,10,1,2,1,2,6,0,0
Violet Fungus,Monstrous Menagerie,0.25,Medium,Plant,N/A,0,0,0,0,5,18,1,1,10,1,2,1,2,6,0,0
Fogborn Zombie Knight,To Save A Kingdom,3,Medium,Undead,N/A,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,Zombie Knight
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
,,,,,N/A,0,0,0,0,,,,,,,,,2,5,0,0
